feature,score
lastTimeStamp,585
userid,364
timeTrans42with3,278
timeMin41orminTimeIntervalWithAction1,257
firstTimeStamp,253
timeTrans41with5,253
medianTimeStamp,247
lastTimeStampsorted,239
feature5,237
timeTrans42with5,235
firDiffTimeFeature,229
timeMin42,223
feature6,220
actionRatio6with20orminTimeIntervalWithAction4,217
feature1,204
minTimeIntervalWith3,193
avgTimeIntervalWithAction5ortimeMax42,187
useridsorted,185
maxTimeIntervalWithAction8,182
timeTrans42with10,178
timeTrans1,168
firTimeInterval,163
total,161
timeTrans42,159
timeMax41,158
maxTimeIntervalWithAction1ortimeMax42,155
avgDiffTimeFeature,155
timeMax42,154
timeTrans37with20,147
timeTrans52with3,146
maxTimeIntervalWithAction1oravgTimeIntervalWithAction5,143
timeTrans41with3,143
lastActionTimeStamp6,143
timeVariance42,142
timeTrans42with20,142
maxTimeIntervalWithAction5orlastTimeStamp,139
firstTimeStampsorted,136
timeMin5,135
lst8TimeIntervalWith10,134
avgTimeIntervalWith7,134
timeTrans52with3orlst1TimeIntervalWith3,134
maxTimeIntervalWith3,133
timeMin50,133
timeMax46,131
timeTrans50with10,131
timeTrans5with10,131
timeTrans5with20,128
actionRatio6with20ormaxTimeIntervalWithAction4,127
timeTrans5with5,125
timeTrans52,125
province,125
timeTrans37,124
timeTrans5,123
timeMin41orminTimeIntervalWithAction1sorted,123
avgTimeIntervalWithAction4oractionTrans42,121
timeTrans46with20,121
timeTrans42with3sorted,120
lstDiffTimeFeature,119
avgTimeIntervalWithAction1,118
minTimeIntervalWithAction4,116
maxTimeIntervalWithAction4,116
timeMin42sorted,115
medianTimeStampsorted,115
lst5TimeIntervalWith7,113
lst7TimeIntervalWith10,113
actionRatio6with20oravgTimeIntervalWithAction4,112
minTimeIntervalWithAction6oravgTimeIntervalWithAction7,112
timeTrans1with20,112
actionTrans50,112
timeMax51,111
maxTimeIntervalWith5,111
lastActionTimeStamp7,111
totalsorted,109
timeTrans51,108
stdTimeIntervalWithAction1,106
avgTimeIntervalWith5,105
feature2,105
minTimeIntervalWithAction5,103
timeMin37,103
userid_kmeans,102
timeTrans51with10,100
lst6TimeIntervalWith7,99
feature4,98
timeTrans1with5,94
stdTimeIntervalWith7,94
timeMax37,92
lastActionTimeStamp7sorted,92
maxTimeIntervalWith10,92
actionTrans41,90
timeTrans42with5sorted,89
stdTimeIntervalWithAction5ortimeTrans52with3,89
actionRatio1with20,88
timeTrans46,88
lastActionTimeStamp5,88
firDiffTimeFeaturesorted,86
avgTimeIntervalWithAction7orlstTimeInterval,84
actionRatio6with20orminTimeIntervalWithAction4sorted,84
feature6sorted,83
lst3TimeIntervalWith5,83
actionRatio5with7,83
diffActionType8,82
minTimeIntervalWithAction6oravgTimeIntervalWithAction7sorted,82
maxTimeIntervalWithAction4orlastActionTimeStamp6,81
feature1sorted,81
lstTimeInterval,81
avgDiffTimeFeaturesorted,80
stdTimeIntervalWith10,79
lastActionTimeStamp6sorted,78
minTimeIntervalWith3sorted,77
timeMax41sorted,75
timeMax51sorted,75
lstTimeIntervalorlastActionTimeStamp7,73
timeMin51,72
timeVariance42sorted,72
timeTrans50with3,72
timeTrans41with5sorted,71
avgTimeIntervalWithAction5ortimeMax42sorted,71
maxTimeIntervalWithAction5orlastTimeStampsorted,71
actionRatio5with20,71
timeVariance50,70
timeTrans42with10sorted,70
maxTimeIntervalWithAction8sorted,70
lst8TimeIntervalWith10sorted,69
minTimeIntervalWithAction4orminTimeIntervalWithAction6,68
actionTrans41with20,68
maxTimeIntervalWith3sorted,67
avgTimeIntervalWithAction1sorted,66
lst2TimeIntervalWith3,66
ratio,65
lastActionTimeStamp5sorted,65
lst1TimeIntervalWith5ormaxTimeIntervalWithAction7,64
lst7TimeIntervalWith10sorted,64
timeTrans50with5,64
feature2sorted,63
actionTrans50sorted,63
timeTrans42sorted,62
avgTimeIntervalWith5sorted,62
feature5sorted,62
timeMax46sorted,60
timeTrans5with20sorted,60
timeMin37sorted,60
maxTimeIntervalWithAction1oravgTimeIntervalWithAction5sorted,59
maxTimeIntervalWithAction1ortimeMax42sorted,59
minTimeIntervalWithAction5sorted,58
lst0TimeIntervalWith3ormaxTimeIntervalWithAction7,58
lst1TimeIntervalWith3,57
provincesorted,57
minTimeIntervalWithAction6ormaxTimeIntervalWithAction1,57
avgTimeIntervalWithAction4oractionTrans42sorted,56
stdTimeIntervalWithAction5ortimeTrans52with3sorted,55
lst0TimeIntervalWith3orlastActionTimeStamp7,55
timeMax42sorted,55
avgTimeIntervalWithAction7orlstTimeIntervalsorted,54
firTimeIntervalsorted,54
actionRatio6with20ormaxTimeIntervalWithAction4sorted,54
maxTimeIntervalWithAction1,54
minTimeIntervalWithAction4sorted,53
timeMin50sorted,53
maxTimeIntervalWithAction9,53
userid_kmeanssorted,53
timeMax52,52
minTimeIntervalWithAction6oravgTimeIntervalWithAction4,52
minTimeIntervalWithAction6oravgTimeIntervalWithAction1,52
timeTrans5sorted,50
timeMax37sorted,50
timeVariance50sorted,50
timeTrans42with20sorted,50
timeTrans1sorted,50
minTimeIntervalWithAction6orlst1TimeIntervalWith5,49
avgTimeIntervalWithAction5orlstTimeInterval,48
timeTrans5with10sorted,47
boughtQ_1,47
maxTimeIntervalWithAction4orlastActionTimeStamp6sorted,47
maxTimeIntervalWith5sorted,47
timeMin5sorted,47
feature4sorted,46
timeTrans46with20sorted,46
maxTimeIntervalWithAction4sorted,46
timeTrans52with3sorted,45
minTimeIntervalWithAction4orminTimeIntervalWithAction6sorted,45
timeTrans41with3sorted,44
lst6TimeIntervalWith10,44
actionTrans41sorted,43
